@relation CGE_R0-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute class {0,1}

@data
?,0.1,0.066667,0.05,0.033333,0.016667,0
0,0,0,0,0,0.016667,1
?,?,?,?,?,0.016667,0
0.2,0.1,0.066667,0.05,0.033333,0.016667,0
?,3.113359,0.066667,0.05,0.033333,0.016667,0
4.965312,3.113359,2.215313,1.811875,1.325104,0.016667,0
0,0.1,0.066667,0.05,0.033333,0.016667,1
0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0
0.9172,0.6448,0.575067,0.5597,0.033333,0.016667,0
0.2,0.1,0.066667,0.05,0.033333,0.016667,1
2.56,0.707679,0.652738,0.658304,0.033333,0.016667,0
4.965937,3.505156,2.556354,2.280937,1.750625,0.016667,0
2.12,1.850714,1.350381,1.154857,0.033333,0.016667,0
?,?,?,?,0.033333,0.016667,0
0.2,0.1,0.066667,1.154857,0.033333,0.016667,0
?,?,?,0.05,0.033333,0.016667,0
3.974516,2.603065,1.974946,1.617823,0.033333,0.016667,0
?,?,0.066667,0.05,0.033333,0.016667,0
3.605556,0.1,0.066667,0.05,0.033333,0.016667,0
3.605556,2.163611,1.581111,0.05,0.033333,0.016667,0
1.7525,0.1,0.066667,0.05,0.033333,0.016667,0
2.442424,2.381061,1.941616,1.699091,1.42697,0.016667,0
2.442424,0.1,0.066667,0.05,0.033333,0.016667,0
0,0,0,0,0.033333,0.016667,1
2.847714,0.1,0.066667,0.05,0.033333,0.016667,0
1.398571,0.863571,0.69,0.610357,0.551667,0.016667,0
0.2,0.863571,0.69,0.610357,0.551667,0.016667,0
0,0,0.066667,0.05,0.033333,0.016667,1
2.907778,1.862407,1.467531,1.213704,0.033333,0.016667,0
1.65,1.43087,1.157971,0.05,0.033333,0.016667,0
2.56,2.75,0.857849,0.842742,0.746613,0.016667,0
0.961429,1.054286,0.066667,0.05,0.033333,0.016667,0
0.961429,1.054286,1.132381,1.13119,0.033333,0.016667,0
1.282727,0.1,0.066667,0.05,0.033333,0.016667,0
?,0.1,1.238586,1.184394,0.930859,0.016667,0
0.2,2.958732,2.407089,1.952183,0.033333,0.016667,0
4.687746,2.958732,2.407089,1.952183,1.405704,0.016667,0
5.462963,3.158704,2.278765,1.840741,1.312469,0.016667,0
2.082712,0.1,0.066667,0.05,0.033333,0.016667,0
0.39,0.195,0.13,0.0975,0.065,0.0325,1
0.2,0.1,0.066667,0.05,0.033333,0.033333,1
?,?,?,?,?,0.033333,0
0,0,0,0,0,0.033333,1
0.4,0.2,0.133333,0.1,0.066667,0.033333,1
1.436154,0.1,0.066667,0.05,0.066667,0.033333,0
?,0.1,0.066667,0.05,0.066667,0.033333,0
0,0,0,0.05,0.033333,0.033333,1
?,?,?,0.05,?,0.033333,0
