@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.1652,3.4832,1.4403,0.2003,Iris-setosa
5.1,3.4486,1.3007,0.198,Iris-setosa
5.1326,3.4659,1.3704,0.1991,Iris-setosa
5.002,3.5476,1.3563,0.2009,Iris-setosa
5.0065,3.4389,1.3819,0.1654,Iris-setosa
5.0042,3.4932,1.3691,0.1831,Iris-setosa
5.0551,3.4216,1.3507,0.2024,Iris-setosa
5.0532,3.4364,1.3458,0.2345,Iris-setosa
5.0541,3.429,1.3482,0.2184,Iris-setosa
5.1815,3.3656,1.4504,0.1928,Iris-setosa
5.1233,3.4267,1.3759,0.2095,Iris-setosa
5.1524,3.3961,1.4131,0.2011,Iris-setosa
5.1204,3.5476,1.4067,0.2022,Iris-setosa
4.9878,3.4144,1.3127,0.1529,Iris-setosa
5.0541,3.481,1.3597,0.1775,Iris-setosa
4.9082,3.5224,1.4089,0.1921,Iris-setosa
5.0205,3.6026,1.5383,0.2019,Iris-setosa
4.9643,3.5625,1.4736,0.197,Iris-setosa
5.0551,3.4524,1.3518,0.1921,Iris-setosa
5.2028,3.5684,1.2586,0.1894,Iris-setosa
5.1289,3.5104,1.3052,0.1907,Iris-setosa
5.0959,3.4468,1.3742,0.199,Iris-setosa
5.0298,3.4169,1.3639,0.1568,Iris-setosa
5.0628,3.4318,1.369,0.1779,Iris-setosa
4.9776,3.486,1.4447,0.1926,Iris-setosa
5.2449,3.3802,1.3909,0.1808,Iris-setosa
5.1112,3.4331,1.4178,0.1866,Iris-setosa
5.1856,3.4328,1.4548,0.2035,Iris-setosa
5.2542,3.4731,1.2977,0.2383,Iris-setosa
5.2199,3.4529,1.3762,0.2209,Iris-setosa
5.1856,3.6092,1.3832,0.2067,Iris-setosa
5.1607,3.5684,1.427,0.1846,Iris-setosa
5.1731,3.5888,1.4051,0.1956,Iris-setosa
5.206,3.4384,1.4504,0.208,Iris-setosa
5.2495,3.3973,1.418,0.1952,Iris-setosa
5.2277,3.4178,1.4342,0.2016,Iris-setosa
5.0469,3.5672,1.3988,0.196,Iris-setosa
5.3009,3.6123,1.5473,0.2249,Iris-setosa
5.1739,3.5897,1.473,0.2104,Iris-setosa
5.0184,3.4804,1.4369,0.2011,Iris-setosa
4.913,3.561,1.2917,0.2431,Iris-setosa
4.9657,3.5207,1.3643,0.2221,Iris-setosa
4.9082,3.4384,1.4156,0.1942,Iris-setosa
4.9457,3.4047,1.3428,0.1731,Iris-setosa
4.9269,3.4215,1.3792,0.1836,Iris-setosa
5.2713,3.5364,1.4537,0.1979,Iris-setosa
5.0158,3.3998,1.2676,0.2182,Iris-setosa
5.1435,3.4681,1.3606,0.208,Iris-setosa
4.9653,3.472,1.3473,0.2054,Iris-setosa
5.0532,3.4438,1.3368,0.2163,Iris-setosa
5.0092,3.4579,1.342,0.2108,Iris-setosa
5.1122,3.5224,1.3899,0.2022,Iris-setosa
5.1701,3.6172,1.4781,0.1788,Iris-setosa
5.1411,3.5698,1.434,0.1905,Iris-setosa
5.2672,3.5644,1.3876,0.2054,Iris-setosa
5.1327,3.4804,1.3518,0.2191,Iris-setosa
5.1999,3.5224,1.3697,0.2122,Iris-setosa
5.1326,3.542,1.4078,0.2008,Iris-setosa
5.2589,3.5537,1.4992,0.2182,Iris-setosa
5.1957,3.5478,1.4535,0.2095,Iris-setosa
5.0061,3.528,1.4123,0.1937,Iris-setosa
5.2963,3.4047,1.5293,0.1568,Iris-setosa
5.1511,3.4663,1.4708,0.1752,Iris-setosa
5.1326,3.64,1.428,0.1923,Iris-setosa
5.2495,3.4828,1.3007,0.2009,Iris-setosa
5.191,3.5614,1.3643,0.1966,Iris-setosa
5.1612,3.444,1.3529,0.1963,Iris-setosa
5.0953,3.6148,1.421,0.2009,Iris-setosa
5.1282,3.5294,1.3869,0.1986,Iris-setosa
4.9531,3.5448,1.4358,0.2075,Iris-setosa
4.9737,3.434,1.3488,0.1788,Iris-setosa
4.9634,3.4894,1.3923,0.1931,Iris-setosa
5.1285,3.4776,1.391,0.2049,Iris-setosa
5.1093,3.5757,1.3398,0.2038,Iris-setosa
5.1189,3.5266,1.3654,0.2043,Iris-setosa
5.2468,3.5,1.4156,0.1964,Iris-setosa
5.2449,3.5635,1.439,0.2028,Iris-setosa
5.2458,3.5317,1.4273,0.1996,Iris-setosa
4.9857,3.6316,1.456,0.1974,Iris-setosa
4.899,3.5146,1.5383,0.1769,Iris-setosa
4.9423,3.5731,1.4971,0.1871,Iris-setosa
5.206,3.5224,1.3977,0.2059,Iris-setosa
5.2215,3.4902,1.3218,0.1769,Iris-setosa
5.2137,3.5063,1.3597,0.1914,Iris-setosa
5.2264,3.5196,1.4179,0.2062,Iris-setosa
5.0252,3.3778,1.5202,0.1606,Iris-setosa
5.1258,3.4487,1.469,0.1834,Iris-setosa
5.2305,3.5252,1.3552,0.2076,Iris-setosa
5.2776,3.5586,1.3127,0.2402,Iris-setosa
5.254,3.5419,1.3339,0.2239,Iris-setosa
5.0755,3.3684,1.4022,0.1929,Iris-setosa
5.3009,3.4877,1.4601,0.1827,Iris-setosa
5.1882,3.428,1.4311,0.1878,Iris-setosa
5.0551,3.3824,1.4212,0.1924,Iris-setosa
5.0111,3.4853,1.3037,0.1923,Iris-setosa
5.0331,3.4338,1.3624,0.1923,Iris-setosa
5.153,3.4328,1.4044,0.2036,Iris-setosa
5.3103,3.4413,1.2917,0.2143,Iris-setosa
5.2316,3.437,1.348,0.2089,Iris-setosa
5.1448,3.3796,1.4212,0.2057,Iris-setosa
5.0672,3.5732,1.5263,0.2134,Iris-setosa
5.106,3.4764,1.4737,0.2095,Iris-setosa
5.2917,3.6344,1.3507,0.2032,Iris-setosa
5.114,3.456,1.2616,0.2354,Iris-setosa
5.2028,3.5452,1.3061,0.2193,Iris-setosa
5.202,3.4104,1.4235,0.198,Iris-setosa
5.1607,3.4975,1.3819,0.2287,Iris-setosa
5.1813,3.4539,1.4026,0.2133,Iris-setosa
5.0265,3.598,1.3832,0.2043,Iris-setosa
5.3243,3.3949,1.2496,0.175,Iris-setosa
5.1754,3.4964,1.3164,0.1896,Iris-setosa
5.1734,3.5644,1.3697,0.2057,Iris-setosa
5.1888,3.6123,1.2676,0.1635,Iris-setosa
5.1811,3.5883,1.3186,0.1845,Iris-setosa
5.2631,3.5392,1.3921,0.2068,Iris-setosa
5.1607,3.5952,1.439,0.1923,Iris-setosa
5.2119,3.5672,1.4155,0.1995,Iris-setosa
5.0673,3.5616,1.4436,0.2017,Iris-setosa
5.2262,3.5097,1.5353,0.246,Iris-setosa
5.1467,3.5356,1.4894,0.2238,Iris-setosa
5.2713,3.4552,1.4302,0.2011,Iris-setosa
5.0298,3.5464,1.3127,0.2019,Iris-setosa
5.1505,3.5008,1.3714,0.2015,Iris-setosa
5.0551,3.388,1.4313,0.208,Iris-setosa
5.3009,3.5684,1.433,0.2201,Iris-setosa
5.178,3.4782,1.4321,0.214,Iris-setosa
5.0224,3.5028,1.354,0.2016,Iris-setosa
5.1841,3.4486,1.406,0.2028,Iris-setosa
5.1032,3.4757,1.3799,0.2022,Iris-setosa
5.1571,3.4524,1.4403,0.2028,Iris-setosa
5.315,3.5903,1.4511,0.2345,Iris-setosa
5.236,3.5213,1.4457,0.2186,Iris-setosa
4.9286,3.5252,1.3943,0.2006,Iris-setosa
5.2542,3.4609,1.5172,0.1788,Iris-setosa
5.0914,3.493,1.4557,0.1896,Iris-setosa
5.1571,3.5644,1.4324,0.2041,Iris-setosa
5.128,3.5048,1.3969,0.2182,Iris-setosa
5.1425,3.5346,1.4146,0.2111,Iris-setosa
4.9245,3.5448,1.4167,0.2022,Iris-setosa
5.3196,3.3998,1.2797,0.2374,Iris-setosa
5.122,3.4723,1.3482,0.2198,Iris-setosa
4.9,3.4328,1.3899,0.2038,Iris-setosa
5.2075,3.3827,1.4721,0.2258,Iris-setosa
5.0537,3.4077,1.431,0.2148,Iris-setosa
5.1652,3.3852,1.447,0.195,Iris-setosa
4.8803,3.3802,1.3879,0.1597,Iris-setosa
5.0227,3.3827,1.4174,0.1773,Iris-setosa
5.0877,3.4692,1.4022,0.1947,Iris-setosa
5.1467,3.583,1.3248,0.2,Iris-setosa
5.1172,3.5261,1.3635,0.1973,Iris-setosa
5.1979,3.5868,1.3641,0.1985,Iris-setosa
5.2121,3.3949,1.5293,0.2153,Iris-setosa
5.205,3.4908,1.4467,0.2069,Iris-setosa
4.9163,3.3684,1.456,0.2004,Iris-setosa
4.9036,3.4315,1.4541,0.1693,Iris-setosa
4.9099,3.3999,1.455,0.1848,Iris-setosa
5.1163,3.5812,1.3865,0.2044,Iris-setosa
4.9971,3.4193,1.4421,0.246,Iris-setosa
5.0566,3.5002,1.4142,0.2252,Iris-setosa
5.1734,3.6092,1.3608,0.1952,Iris-setosa
4.9457,3.5757,1.4421,0.1721,Iris-setosa
5.0595,3.5924,1.4014,0.1836,Iris-setosa
5.2428,3.4636,1.4347,0.1964,Iris-setosa
5.0439,3.4462,1.3007,0.175,Iris-setosa
5.1433,3.4549,1.3677,0.1856,Iris-setosa
5.2101,3.5252,1.4156,0.2006,Iris-setosa
5.1233,3.6148,1.5142,0.1529,Iris-setosa
5.1667,3.57,1.4649,0.1767,Iris-setosa
5.1979,3.486,1.4447,0.2064,Iris-setosa
4.9363,3.5684,1.2616,0.2,Iris-setosa
5.0671,3.5272,1.3531,0.2032,Iris-setosa
5.1081,3.402,1.4022,0.1948,Iris-setosa
5.1981,3.39,1.5142,0.246,Iris-setosa
5.1531,3.396,1.4582,0.2204,Iris-setosa
4.9327,3.6232,1.3865,0.1979,Iris-setosa
5.0111,3.5928,1.3488,0.2028,Iris-setosa
