@RELATION seeds

@ATTRIBUTE area	REAL
@ATTRIBUTE perimeter	REAL
@ATTRIBUTE compactness	REAL
@ATTRIBUTE kernel_length	REAL
@ATTRIBUTE kernel_width	REAL
@ATTRIBUTE asymmetry	REAL
@ATTRIBUTE kernel_groove_length	REAL
@ATTRIBUTE class {1,2,3}

@DATA
14.7564,14.7954,0.8823,5.8436,3.2888,2.2609,5.1051,1
14.7848,15.2622,0.8396,5.898,3.3054,2.3986,5.1388,1
14.7706,15.0288,0.8609,5.8708,3.2971,2.3297,5.1219,1
14.5885,15.3,0.8666,5.786,3.4676,2.252,5.0477,1
15.2451,15.2185,0.8431,5.9994,3.4521,2.258,5.4904,1
14.9168,15.2592,0.8548,5.8926,3.4598,2.255,5.269,1
15.7788,14.6322,0.8884,5.8263,3.408,2.3209,4.9851,1
14.9778,15.5388,0.8701,5.8136,3.4749,2.3357,5.2957,1
15.3783,15.0855,0.8792,5.8199,3.4414,2.3283,5.1404,1
15.6567,14.9884,0.8988,5.9935,3.3948,2.2143,4.9903,1
15.7648,14.9419,0.8797,5.504,3.4325,2.2136,5.0469,1
15.7107,14.9651,0.8892,5.7487,3.4136,2.2139,5.0186,1
15.8093,14.4096,0.85,6.0108,3.2656,2.2676,5.1364,1
14.8145,15.5097,0.8326,5.5716,3.338,2.1581,5.3389,1
15.3119,14.9596,0.8413,5.7912,3.3018,2.2128,5.2376,1
14.7259,15.1368,0.8892,5.6592,3.4709,2.1299,5.3452,1
14.5769,14.5051,0.8849,5.7123,3.2468,2.2136,5.3497,1
14.6514,14.8209,0.887,5.6857,3.3588,2.1717,5.3474,1
15.733,15.3742,0.8858,5.9416,3.3815,2.1166,5.2408,1
15.0224,14.8836,0.837,5.6729,3.2565,2.2432,5.366,1
15.3777,15.1289,0.8614,5.8072,3.319,2.1799,5.3034,1
15.4431,15.582,0.904,5.8436,3.4113,2.3253,5.3922,1
15.0521,14.7526,0.891,5.853,3.4619,2.036,4.9982,1
15.2475,15.1673,0.8975,5.8483,3.4366,2.1806,5.1952,1
15.1684,15.5226,0.8466,5.5036,3.1828,2.221,5.0373,1
15.3193,14.5051,0.8387,5.5547,3.4325,2.3246,5.0685,1
15.2438,15.0138,0.8426,5.5291,3.3076,2.2728,5.0529,1
15.9009,15.1368,0.891,5.5497,3.4345,2.2098,5.4653,1
15.0224,14.1702,0.857,5.8643,3.4325,2.3912,5.4146,1
15.4616,14.6535,0.874,5.707,3.4335,2.3005,5.4399,1
15.5041,14.5728,0.83,5.7975,3.2821,2.1676,5.1834,1
15.0521,14.7089,0.8396,5.7686,3.2696,2.0619,5.0631,1
15.278,14.6408,0.8348,5.783,3.2758,2.1147,5.1232,1
15.2142,14.469,0.8361,5.7745,3.4113,2.3009,5.2617,1
15.0966,14.7672,0.8823,5.8643,3.4749,2.221,5.0307,1
15.1554,14.6181,0.8592,5.8194,3.4431,2.2609,5.1462,1
15.7483,14.3057,0.8927,5.7053,3.3153,2.2543,5.3035,1
15.4975,14.5924,0.9075,5.8812,3.2533,2.2654,5.2903,1
15.6229,14.449,0.9001,5.7932,3.2843,2.2598,5.2969,1
15.6262,14.6916,0.9093,5.6362,3.4776,2.1987,5.1312,1
14.9927,14.8982,0.8631,5.701,3.2859,2.2913,5.3173,1
15.3094,14.7948,0.8862,5.6686,3.3817,2.245,5.2242,1
15.9161,15.1961,0.8596,5.8955,3.2788,2.2743,5.4496,1
15.9281,15.3932,0.8448,5.5997,3.1881,2.0804,5.3335,1
15.9221,15.2946,0.8522,5.7476,3.2334,2.1773,5.3915,1
15.6872,15.5523,0.8527,5.5612,3.302,2.1188,5.481,1
15.9875,14.3886,0.8352,5.7123,3.3348,2.1618,5.0577,1
15.8373,14.9704,0.8439,5.6367,3.3184,2.1403,5.2693,1
15.4126,15.018,0.8605,5.9013,3.2291,2.1765,4.9746,1
14.8442,15.5242,0.8596,5.5941,3.2728,2.3468,5.1388,1
15.1284,15.2711,0.86,5.7477,3.2509,2.2616,5.0566,1
14.5733,15.2555,0.8945,6.0338,3.3583,2.3142,5.0999,1
15.5866,15.0729,0.8631,5.6447,3.2011,2.0656,5.3984,1
15.0799,15.1642,0.8788,5.8392,3.2797,2.1898,5.2491,1
14.8174,15.0774,0.9093,5.6073,3.3351,2.2942,5.0581,1
15.8687,15.4369,0.8274,5.701,3.2077,2.221,5.3227,1
15.343,15.2571,0.8683,5.6541,3.2714,2.2576,5.1904,1
15.8704,14.3354,0.8335,5.544,3.196,2.2698,5.4444,1
15.4233,15.0001,0.8535,5.8699,3.1979,2.073,5.4849,1
15.6468,14.6677,0.8435,5.7069,3.1969,2.1714,5.4646,1
15.2142,15.5523,0.8326,5.5958,3.3583,2.1143,5.1521,1
14.6957,14.3595,0.9084,5.7461,3.1783,2.3246,4.9874,1
14.9549,14.9559,0.8705,5.6709,3.2683,2.2194,5.0697,1
16.0077,14.5283,0.8823,5.763,3.1662,2.1699,5.1051,1
14.7551,14.3304,0.8649,5.7798,3.224,2.0508,5.0739,1
15.3814,14.4293,0.8736,5.7714,3.1951,2.1103,5.0895,1
14.7564,14.7954,0.8744,5.7341,3.2623,2.2631,5.0686,1
15.9578,14.3304,0.8962,5.7573,3.312,2.221,5.4255,1
15.3571,14.5629,0.8853,5.7456,3.2871,2.242,5.247,1
15.0005,15.5374,0.8405,5.6765,3.2291,2.1676,5.1156,1
15.8984,14.3741,0.8866,5.701,3.2468,2.1988,5.2794,1
15.4494,14.9557,0.8635,5.6887,3.2379,2.1832,5.1975,1
14.6953,14.2909,0.8805,5.9762,3.1695,2.2965,5.4392,1
15.7351,14.6216,0.8544,6.0106,3.1523,2.295,5.4092,1
15.2152,14.4562,0.8674,5.9934,3.1609,2.2957,5.4242,1
15.0158,14.3206,0.8866,5.544,3.3418,2.3009,5.3296,1
14.6363,14.2576,0.898,5.7461,3.3543,2.3431,5.2524,1
14.826,14.2891,0.8923,5.645,3.348,2.322,5.291,1
14.9395,15.3,0.8561,5.5151,3.4577,2.2343,5.4288,1
15.5569,14.8982,0.8379,5.8924,3.2761,2.1544,5.0685,1
15.2482,15.0991,0.847,5.7037,3.3669,2.1943,5.2486,1
15.1684,15.389,0.8936,5.6362,3.2358,2.1277,5.2304,1
15.5421,14.9419,0.8561,5.6504,3.3445,2.184,5.2308,1
15.3552,15.1654,0.8748,5.6433,3.2901,2.1558,5.2306,1
15.8246,15.0477,0.891,5.8782,3.4544,2.3187,5.4131,1
15.2006,14.4323,0.8361,5.8474,3.4032,2.3986,5.1605,1
15.5126,14.74,0.8635,5.8628,3.4288,2.3586,5.2867,1
15.5957,14.1573,0.8309,5.6765,3.4345,2.1565,5.1417,1
14.9333,15.0001,0.8352,5.9937,3.2565,2.1803,5.3552,1
15.2645,14.5787,0.833,5.8351,3.3455,2.1684,5.2484,1
14.5275,15.389,0.8936,5.5843,3.2424,2.332,5.0268,1
14.8591,14.2285,0.898,5.9487,3.2696,2.0915,5.2416,1
14.6933,14.8087,0.8958,5.7665,3.256,2.2117,5.1342,1
15.3515,15.389,0.8849,5.8897,3.3484,2.2365,5.173,1
14.9333,14.971,0.8561,5.611,3.2663,2.1729,5.3822,1
15.1423,15.18,0.8705,5.7503,3.3073,2.2047,5.2775,1
15.1074,14.8251,0.8762,5.7802,3.2755,2.1588,5.3922,1
15.8539,15.3495,0.8422,5.763,3.149,2.1877,5.3065,1
15.4806,15.0873,0.8592,5.7715,3.2122,2.1732,5.3493,1
14.9395,15.4781,0.9101,5.9128,3.1662,2.1388,5.3557,1
14.9036,14.2139,0.8657,5.5997,3.3608,2.221,5.1875,1
14.9215,14.846,0.8879,5.7562,3.2634,2.1799,5.2715,1
15.5804,14.2315,0.8474,5.6535,3.2192,2.2187,4.9642,1
14.5621,14.6652,0.8561,5.6785,3.2403,2.3098,5.1983,1
15.0712,14.4483,0.8517,5.666,3.2297,2.2642,5.0812,1
15.1684,14.4393,0.871,6.0223,3.4014,2.2942,5.0164,1
15.8687,15.2767,0.8657,5.5434,3.4553,2.2617,5.3011,1
15.5185,14.858,0.8683,5.7828,3.4283,2.2779,5.1587,1
15.0158,15.211,0.8666,5.9474,3.3484,2.1366,5.4026,1
15.9727,14.7089,0.8448,5.5209,3.2011,2.0767,5.4904,1
15.4942,14.9599,0.8557,5.7341,3.2747,2.1066,5.4465,1
14.9242,15.0329,0.83,5.8955,3.3186,2.1343,5.0738,1
15.4381,15.3495,0.8588,5.8812,3.4684,2.2247,5.2957,1
15.1811,15.1912,0.8444,5.8883,3.3935,2.1795,5.1847,1
15.382,14.6322,0.8352,5.8033,3.3517,2.2876,4.9642,1
15.4678,15.466,0.8352,5.701,3.2631,2.1803,5.009,1
15.4249,15.0491,0.8352,5.7521,3.3074,2.2339,4.9866,1
14.8479,14.8845,0.8727,5.7284,3.3716,2.2854,5.0947,1
15.2154,14.7672,0.857,5.9149,3.3348,2.3209,4.9712,1
15.0316,14.8258,0.8648,5.8216,3.3532,2.3031,5.0329,1
14.497,14.276,0.8666,5.6016,3.4544,2.2187,4.9955,1
15.8836,15.0583,0.8309,5.9318,3.3022,2.1248,5.3497,1
15.1903,14.6671,0.8487,5.7667,3.3783,2.1717,5.1726,1
15.321,14.1573,0.837,5.5094,3.4312,2.2831,4.9903,1
14.8739,15.1602,0.898,5.7179,3.2533,2.3579,5.1388,1
15.0974,14.6587,0.8675,5.6136,3.3422,2.3205,5.0645,1
14.9242,14.7658,0.9084,5.8033,3.4279,2.2365,5.2722,1
15.2896,14.6944,0.8631,5.5096,3.3771,2.147,5.247,1
15.1069,14.7301,0.8857,5.6564,3.4025,2.1917,5.2596,1
15.9772,15.3297,0.8718,5.8379,3.2325,2.272,5.2252,1
15.5569,15.1166,0.8622,5.9825,3.2565,2.1951,5.4092,1
15.767,15.2231,0.867,5.9102,3.2445,2.2335,5.3172,1
15.5346,14.1425,0.877,5.7168,3.4279,2.1521,5.1939,1
15.7945,14.6361,0.8736,5.7911,3.224,2.2469,5.22,1
15.6645,14.3893,0.8753,5.7539,3.3259,2.1995,5.2069,1
15.6109,15.1368,0.884,5.7745,3.3848,2.2143,5.0842,1
15.2303,15.2476,0.8831,5.9881,3.2663,2.2839,5.3335,1
15.4206,15.1922,0.8835,5.8812,3.3255,2.2491,5.2088,1
15.2447,15.5226,0.8805,5.544,3.4444,2.1965,5.4183,1
15.2154,15.3204,0.8657,5.5941,3.4684,2.0841,4.955,1
15.23,15.4215,0.8731,5.569,3.4564,2.1403,5.1866,1
15.0158,14.098,0.8919,5.786,3.3782,2.1477,5.3087,1
15.3342,14.1557,0.8875,5.9374,3.2337,2.2654,5.1388,1
15.175,14.1268,0.8897,5.8617,3.3059,2.2065,5.2237,1
14.497,14.5135,0.8683,5.8552,3.3484,2.2098,5.3348,1
15.6163,14.9564,0.8448,5.9937,3.3999,2.1803,5.1442,1
15.0566,14.7349,0.8565,5.9244,3.3741,2.195,5.2394,1
15.26,14.1425,0.857,5.7226,3.4345,2.1521,5.3035,1
15.5569,14.6798,0.8953,5.6447,3.4195,2.3579,5.3011,1
15.4084,14.4111,0.8761,5.6836,3.427,2.255,5.3023,1
14.6343,14.187,0.8962,6.0338,3.3683,2.2476,5.1573,1
15.7351,14.5633,0.8762,5.8418,3.3445,2.3431,5.247,1
15.1847,14.3751,0.8862,5.9378,3.3564,2.2953,5.2021,1
15.3515,14.4986,0.8439,5.8897,3.206,2.1721,5.1156,1
14.8294,14.5633,0.9136,5.5716,3.325,2.0656,5.366,1
15.0904,14.5309,0.8787,5.7306,3.2655,2.1188,5.2408,1
15.6567,14.469,0.8657,5.5497,3.2126,2.1121,5.2513,1
15.3342,14.7526,0.8283,5.8136,3.4325,2.3727,5.4471,1
15.4954,14.6108,0.847,5.6816,3.3225,2.2424,5.3492,1
15.2142,15.4039,0.8971,5.5785,3.196,2.3165,5.0686,1
14.5769,14.2576,0.8805,5.504,3.4032,2.0989,5.0631,1
14.8955,14.8307,0.8888,5.5412,3.2996,2.2077,5.0658,1
14.6801,15.5226,0.9084,5.4748,3.3484,2.2876,5.2565,1
15.943,15.5388,0.877,5.9656,3.3967,2.1026,5.1929,1
15.3115,15.5307,0.8927,5.7202,3.3725,2.1951,5.2247,1
15.26,14.8696,0.8927,5.9531,3.196,2.1499,5.2408,1
14.5472,14.6361,0.9145,5.898,3.3543,2.1581,4.9928,1
14.9036,14.7528,0.9036,5.9255,3.2751,2.154,5.1167,1
14.9853,14.2018,0.8727,5.688,3.2325,2.1765,5.1103,1
15.943,14.8254,0.8701,5.9431,3.3967,2.3246,5.4633,1
15.4641,14.5136,0.8714,5.8155,3.3146,2.2505,5.2867,1
15.4431,15.0032,0.8535,5.9935,3.1563,2.1232,5.2408,1
14.666,15.2185,0.8892,5.8249,3.2565,2.0878,5.0361,1
15.0545,15.1108,0.8713,5.9092,3.2064,2.1055,5.1384,1
15.2142,14.1276,0.837,5.5209,3.2325,2.2787,5.2774,1
15.4827,14.6216,0.8866,5.7573,3.3152,2.0545,5.4633,1
15.3484,14.3746,0.8618,5.6391,3.2738,2.1666,5.3703,1
15.4126,14.9142,0.9032,5.9935,3.4378,2.1454,5.4392,1
15.8984,15.1457,0.9101,5.5828,3.4325,2.1507,5.101,1
15.6555,15.0299,0.9066,5.7881,3.4351,2.148,5.27,1
15.1226,14.9438,0.8936,5.567,3.4113,2.2631,5.387,1
15.5421,14.2721,0.8352,5.7235,3.3608,2.3727,5.4146,1
15.3323,14.6079,0.8644,5.6452,3.386,2.3179,5.4008,1
15.7483,14.6916,0.8422,5.9935,3.1861,2.1565,5.2722,1
15.4084,15.0875,0.9136,5.6785,3.4162,2.295,5.1064,1
15.5783,14.8895,0.8778,5.836,3.3011,2.2257,5.1892,1
15.1989,14.3354,0.884,5.7802,3.1497,2.1454,5.4392,1
15.2006,14.4905,0.837,6.0444,3.3511,2.3949,5.4849,1
15.1997,14.4129,0.8605,5.9123,3.2504,2.2701,5.462,1
15.26,14.6322,0.8492,5.567,3.2424,2.3009,5.032,1
14.8294,15.2185,0.8701,5.8361,3.4358,2.3135,5.2254,1
15.0447,14.9253,0.8596,5.7015,3.3391,2.3072,5.1287,1
14.8174,14.4541,0.8527,5.9647,3.3484,2.1477,5.0059,1
15.3045,14.971,0.8361,5.9431,3.4097,2.3172,5.2037,1
15.0609,14.7125,0.8444,5.9539,3.379,2.2324,5.1048,1
15.733,15.4632,0.9145,5.9531,3.4742,2.332,5.3661,1
15.5124,15.233,0.864,5.9881,3.2403,2.1729,5.42,1
15.6227,15.3481,0.8892,5.9706,3.3572,2.2524,5.393,1
15.4278,14.558,0.8971,5.8436,3.2027,2.2965,5.1364,1
14.6512,15.1457,0.8405,5.7348,3.3348,2.0952,5.3552,1
15.0395,14.8518,0.8688,5.7892,3.2687,2.1958,5.2458,1
15.5194,15.2703,0.8527,5.8667,3.3153,2.1921,5.0738,1
15.8093,15.2913,0.8953,5.7911,3.426,2.1544,5.3497,1
15.6643,15.2808,0.874,5.8289,3.3706,2.1732,5.2117,1
14.8785,14.4986,0.8439,5.8379,3.2821,2.3098,5.1469,1
14.5769,15.0438,0.911,5.7517,3.2403,2.2765,4.9928,1
14.7277,14.7712,0.8774,5.7948,3.2611,2.2931,5.0698,1
14.8937,14.3057,0.9006,5.9186,3.3583,2.1166,5.22,1
15.6163,15.102,0.8649,5.5885,3.4456,2.1137,5.3119,1
